,Mkt-RF,SMB,HML,RMW,CMA,RF
20240501,-0.27,0.96,0.03,-1.37,0.09,0.02
20240502,1.01,0.72,-0.03,-0.01,-0.79,0.02
20240503,1.18,-0.05,-0.19,0.42,-0.53,0.02
20240506,1.08,-0.02,-0.06,-0.25,-0.69,0.02
20240507,0.05,0.01,-0.6,0.15,0.24,0.02
20240508,-0.09,-0.4,0.58,0.7,0.15,0.02
20240509,0.52,0.52,0.37,0.04,0.06,0.02
20240510,0.09,-0.9,0.01,0.54,-0.06,0.02
20240513,-0.04,0.26,-0.26,0.18,0.24,0.02
20240514,0.56,0.52,0.02,-0.17,-0.03,0.02
20240515,1.15,-0.46,-0.22,-0.43,-0.37,0.02
20240516,-0.25,-0.21,-0.01,-0.02,0.38,0.02
20240517,0.11,-0.22,0.4,-0.17,-0.11,0.02
20240520,0.14,0.16,-0.88,0.16,-0.65,0.02
20240521,0.16,-0.43,0.18,0.39,-0.3,0.02
20240522,-0.35,-0.4,-0.37,-0.44,-0.05,0.02
20240523,-0.84,-0.69,-0.64,1.22,-0.63,0.02
20240524,0.71,0.16,0.15,0.28,-0.38,0.02
20240528,-0.04,0.13,-0.88,0.08,-1.12,0.02
20240529,-0.77,-0.39,-0.62,0.5,-0.02,0.02
20240530,-0.53,1.36,1,0.3,1.06,0.02
20240531,0.68,-0.01,0.78,0.95,0.78,0.02
20240603,0.05,-0.31,-0.57,0.39,-0.44,0.02
20240604,-0.06,-1.28,-0.76,-0.22,-0.12,0.02
20240605,1.23,0.33,-0.61,-0.44,-0.68,0.02
20240606,-0.06,-0.57,-0.07,-0.01,-0.17,0.02
20240607,-0.23,-0.95,0.07,0.33,0.19,0.02
20240610,0.27,-0.15,-0.28,-0.22,-0.43,0.02
20240611,0.2,-0.19,-1.06,0.27,-0.21,0.02
20240612,0.94,0.73,0.09,0.1,-0.34,0.02
20240613,0.05,-1.02,-0.63,1.02,-0.03,0.02
20240614,-0.16,-1.48,-0.64,0.13,0.07,0.02
20240617,0.78,-0.33,0.52,0.83,0.23,0.02
20240618,0.2,-0.45,0.37,0.26,-0.1,0.02
20240620,-0.3,-0.35,0.25,-0.61,0.32,0.02
20240621,-0.13,0.44,-0.51,-0.79,0.16,0.02
20240624,-0.26,0.62,1.09,0.04,0.64,0.02
20240625,0.31,-0.83,-1.21,0.09,-1.2,0.02
20240626,0.16,-0.01,-0.21,0.43,-0.28,0.02
20240627,0.14,0.53,-0.39,-0.96,-0.11,0.02
20240628,-0.35,1.01,1.27,-0.17,0.71,0.02
20240701,0.23,-1.06,-0.48,0.48,-0.34,0.02
20240702,0.57,-0.48,0.41,0.48,-0.61,0.02
20240703,0.48,-0.29,-0.69,-0.01,0.58,0.02
20240705,0.48,-0.8,-1.42,-0.34,-1.03,0.02
20240708,0.1,0.52,-0.19,-0.32,0.47,0.02
20240709,0,-0.61,0.5,-0.47,0.67,0.02
20240710,0.97,-0.13,0.41,0.2,0.18,0.02
20240711,-0.6,4.21,1.77,-1.03,-0.09,0.02
20240712,0.58,0.63,-0.47,-0.47,0.13,0.02
20240715,0.38,1.16,0.57,-0.26,-0.37,0.02
20240716,0.82,2.77,1.34,-0.61,0.05,0.02
20240717,-1.49,0.5,2.46,0.77,-0.12,0.02
20240718,-0.95,-1.13,0.03,0.98,0.4,0.02
20240719,-0.68,0.08,-0.13,-0.11,-0.49,0.02
20240722,1.08,0.53,-0.55,-0.34,0.69,0.02
20240723,-0.07,1.15,0.01,-0.43,-0.17,0.02
20240724,-2.4,0.04,1.73,0.13,0.05,0.02
20240725,-0.3,1.65,0.67,-0.13,0.14,0.02
20240726,1.1,0.55,-0.17,0.07,0.13,0.02
